Episode 172	Step 182665	Time 3022.87	Epsilon 0.01	Reward 1640.0
Episode 173	Step 182882	Time 3026.23	Epsilon 0.01	Reward 1079.0
Episode 174	Step 183263	Time 3032.10	Epsilon 0.01	Reward 1498.0
Episode 175	Step 183656	Time 3038.36	Epsilon 0.01	Reward 1846.0
Episode 176	Step 184307	Time 3051.59	Epsilon 0.01	Reward 2176.0
Episode 177	Step 186460	Time 3088.08	Epsilon 0.01	Reward 1486.0
Episode 178	Step 187665	Time 3106.46	Epsilon 0.01	Reward 1899.0
Episode 179	Step 188309	Time 3119.68	Epsilon 0.01	Reward 2182.0
Episode 180	Step 188401	Time 3121.13	Epsilon 0.01	Reward 717.0
Episode 181	Step 188888	Time 3128.61	Epsilon 0.01	Reward 1603.0
Episode 182	Step 190644	Time 3158.67	Epsilon 0.01	Reward 1626.0
Episode 183	Step 190903	Time 3162.63	Epsilon 0.01	Reward 1515.0
Episode 184	Step 191055	Time 3164.97	Epsilon 0.01	Reward 1111.0
Episode 185	Step 194022	Time 3213.80	Epsilon 0.01	Reward 2177.0
Episode 186	Step 194221	Time 3220.16	Epsilon 0.01	Reward 1045.0
Episode 187	Step 194471	Time 3224.09	Epsilon 0.01	Reward 1288.0
Episode 188	Step 194728	Time 3228.12	Epsilon 0.01	Reward 1653.0
Episode 189	Step 198771	Time 3296.40	Epsilon 0.01	Reward 929.0
Episode 190	Step 201004	Time 3333.65	Epsilon 0.01	Reward 1657.0
Episode 191	Step 203082	Time 3368.48	Epsilon 0.01	Reward 883.0
Episode 192	Step 203825	Time 3380.18	Epsilon 0.01	Reward 1763.0
Episode 193	Step 204483	Time 3390.53	Epsilon 0.01	Reward 1778.0
Episode 194	Step 204888	Time 3400.10	Epsilon 0.01	Reward 1254.0
Episode 195	Step 205187	Time 3405.13	Epsilon 0.01	Reward 1277.0
Episode 196	Step 206052	Time 3418.28	Epsilon 0.01	Reward 1361.0
Episode 197	Step 208782	Time 3462.92	Epsilon 0.01	Reward 1761.0
Episode 198	Step 209649	Time 3480.24	Epsilon 0.01	Reward 1726.0
Episode 199	Step 210373	Time 3491.41	Epsilon 0.01	Reward 1177.0
Episode 200	Step 210753	Time 3497.32	Epsilon 0.01	Reward 2118.0
Episode 201	Step 211229	Time 3507.86	Epsilon 0.01	Reward 1055.0
Episode 202	Step 211457	Time 3511.67	Epsilon 0.01	Reward 1529.0
Episode 203	Step 212048	Time 3521.65	Epsilon 0.01	Reward 2221.0
Episode 204	Step 214110	Time 3555.43	Epsilon 0.01	Reward 918.0
Episode 205	Step 214569	Time 3562.58	Epsilon 0.01	Reward 1557.0
